First_name,Middle_name,Last_name,Suffix,Job_title,Confirmed,Year_started,Year_ended,Administration_appointee,Party_affiliation,Employer,FTC_seat,Education,Previous_position,Type_of_previous_position,Generalized_previous_experience,Following_position,Type_of_following_position,Generalized following experience,Following_law_firms,Birth_year,Appointment_age,Source,Source2,Source3,Notes
Robert,A. ,Bicks,,AAG antitrust,,1959,1961,Eisenhower,NA,DOJ,NA,Law,Legal assistant to AAG of antitrust; previously unclear,Government,Civil service,Law firm (Whitman Breed Abbott & Morgan),Law firm,Law firm,Whitman Breed Abbott & Morgan,1927,32,NYT,,,"""widely regarded as the division's principal policy maker"" NYT"
Earl,W.,Kintner,,Chair,,1959,1961,,R,FTC,2,Law,"General Counsel of FTC; previously: trial attorney for FTC, other government positions, ",Government,Civil service,Partner in law firm (Arent Fox Kintner Plotkin & Kahn),Law firm,Law firm,Arent Fox Kintner Plotkin & Kahn,1912,47,Wiki,Indiana law,,Directed law firm's antitrust practice
Philip,,Elman,,Commissioner,,1961,1970,,Independent,FTC,5,Law,"Assistant to US Solicitor General; previously: DOJ staff lawyer, SCOTUS and federal judge clerk, FCC staff lawyer",Government,Civil service,"Law firm (Wald Harkrader & Ross), taught law (Georgetown)",Law firm,Law firm,Wald Harkrader & Ross,1918,43,Wiki,NYT obit,Book (pg 391),
Everette,,McIntyre,,Acting chair/commissioner,,1961,1973,,D,FTC,3,JD,"General counsel for House committee on small business; previously: staff director of House committee, ran House investigation of monopolistic procedures, chief of FTC antitrust trials division, FTC trial lawyer",Government,Civil service,Law firm (McKean and McIntyre and others),Law firm,Law firm,McKean & McIntyre,1901,60,Wiki,NYT obit,,
Paul,R.,Dixon,,Chair/commissioner/acting chair,,1961,1981,,D,FTC,2,JD,counsel and staff director for the Senate Antitrust and Monopoly Subcommittee; previously: FTC staff,Government,Civil service,"Unclear, died soon after",Died,Died,,1913,48,Wiki,,,
Charles,,Rule,,AAG antitrust,,1986,1989,Reagan,NA,DOJ,NA,JD,Principal Deputy Assistant Attorney General of antitrust; previously: federal clerk,Government,Civil service,"Law firms (Covington Burling, Fried Frank, Cadwalader, Paul Weiss)",Law firm,Law firm,"Covington Burling, Fried Frank, Paul Weiss",1956,30,Paul Weiss,ABA Journal,,"""antitrust rainmaker"""
R.,Hewitt,Pate,,AAG antitrust,,2003,2005,GWB,NA,DOJ,NA,JD,"Deputy AAG of regulatory affairs; previously: unclear related to international antitrust, SCOTUS law clerk for Powell and Kennedy",Government,Civil service,"Law firm (Hunton & Williams, heads global competition practice), General counsel of Chevron",Law firm,"Law firm, industry",Hunton & Williams,1963,40,Justice,Chevron,,
John,F.,Nugent,,Chair/commissioner,,1921,1927,,D,FTC,4,Law,"US Senator (Idaho); previously: law practice, local municipal prosecuting attorney",Government,Electoral,"Unsuccessfully ran for Senate again, law firm (Nugent and O'Hara)",Government,"Electoral, law firm",Nugent & O'Hara,1868,53,Wiki,NYT obit,,
Ewin,L.,Davis,,Chair(x3)/commissioner,,1933,1949,,D,FTC,2,Law,"Member of House (TN); previously: director Traders National Bank of Tullahoma, judge of the seventh judicial circuit of TN, Chairman of the district exemption board",Government,Electoral,Died,Died,Died,,1876,57,Wiki,House bios,,Seems like a landing spot after losing an election?
William,A.,Ayers,,Chair (x3)/commissioner,,1934,1952,,D,FTC,3,Law,"Member of House (KS); previously: municipal prosecuting attorney, clerk for Court of Appeals of Kansas, private practice",Government,Electoral,Died,Died,Died,,1867,67,Wiki,Congress bio,,
James,M.,Mead,,Chair/commissioner,,1949,1955,,D,FTC,4,"Unclear, probably none","US Senator (NY)/failed to win NY governorship; previously: member of House (NY), NY state assembly, police officer, railroad worker",Government,Electoral,"Director of Washington DC office of NY Dept of Commerce, retired",Government,Political,,1885,64,Wiki,NYT obit,,
Robert,T.,Secrest,,Commissioner,,1954,1961,,D,FTC,3,Law,"Member of House (OH); previously: legal supervisor of Library of Congress, member of House (OH), local superintendent",Government,Electoral,"OH Director of Commerce, member of House (OH), member of OH state senate",Government,Electoral,,1904,50,Wiki,,,
Sigurd,,Anderson,,Commissioner,,1955,1964,,R,FTC,1,LLB,"Governor of SD; previously: AG of SD, state attorney in SD, law practice",Government,Electoral,"Law firm (unclear), SD circuit judge","Law firm, political",Law firm,Unclear,1904,51,Wiki,South Dakota Uni,,
David,Short,Dennison,Jr. ,Commissioner,,1970,1973,,R,FTC,5,Law,"Consultant for 1959 Civil Rights Commission; previously: unsuccessfully ran for House (after), member of House (OH), special assistant to OH state AG, private practice",Government,Electoral,Business executive,Industry,Industry,,1918,52,Wiki,Congress bio,,
John,W.,Gwynne,,Chair/commissioner,,1953,1959,,R,FTC,2,Law,"Member of House (Iowa); previously: county attorney, judge of the municipal court, private practice, farmer",Government,"Electoral, political",Law practice (Iowa),Private practice,Private practice,,1889,64,Wiki,House bios,NYT,
Edward,N.,Hurley,,Chair/commissioner,,1915,1917,,D,FTC,4,None,"President of Hurley Machine Company; previously: president of National Bank of Wheaton, additional private corporations",Industry,Industry,"Chairman of US Shipping Board (government position), member of US World War debt funding commission, involved with Dem and Rep party conventions, involved with 1933 Chicago World Fair",Government,Political,,1864,51,Wiki,NYT obit,,
Will,H.,Parry,,Commissioner,,1915,1917,,Progressive,FTC,2,Undergrad,"Manager of Alaska-Yukon Exposition of Seattle; previously: shipping executive, Seattle Alderman/comptroller, journalist",Industry,Industry,Died,Died,Died,,1864,51,NYT obit,,,
Charles,W.,Hunt,,Chair(x2)/commissioner,,1924,1932,,R,FTC,2,Undergrad,"Secretary of Iowa Farm Bureau Federation; previously: other farm bureau positions, member of Iowa state legislature, teacher/farmer",Industry,Industry,Died,Died,Died,,1864,60,Wiki,Iowa leg,NYT obit,"Difficult renomination process: Sen King (UT) asserted ""that Hunt was a reactionary and was not enforcing the law"""
George,W.,Douglas,,Commissioner,,1982,1985,,D,FTC,3,PhD (economist),"President of Southwest Econometrics; previously: Brookings fellowship at Dept of Transportation, professor (UNC)",Industry,Industry,Economics business (assuming continuation of Southwest Econometrics),Industry,Industry,,1938,44,NYT,obit in local paper,,Also younger
Christine,S.,Wilson,,Commissioner,,2018,NA,,R,FTC,4,JD,"Senior VP at Delta (legal regulatory); previously: law firms (Kirkland & Ellis/ O'Melveny & Myers/ Howrey), chief of staff/consultant of FTC Commissioner Muris, law firms (Howrey/Shannon Rill and Scott), law clerk at FTC",Industry,"Industry, law firm, political, civil servant",NA,NA,NA,,1958,60,Nomination document,,,
James,M.,Nicholson,,Commissioner,,1967,1969,,D,FTC,4,LLB,Law firm (Cadick Burns Duck & Neighbors); previously: unsuccessful candidate for House of Representatives,Law firm,Law firm,Unclear,Unclear,Unclear,,1928,39,NYT,Commerce committee nomination docs,,
Richard,W.,McLaren,,AAG antitrust,,1969,1972,Nixon,NA,DOJ,NA,LLB,"Law firm (unclear, Chicago area); previously: private practice in NY, Army Air Corps",Law firm,Law firm,"Federal judge (US District Court, IL)",Government,Political,,1918,51,link,,,
Miles,W.,Kirkpatrick,,Chair,,1970,1973,,R,FTC,4,Law,"Law firm as antitrust specialist (Morgan, Lewis & Brockius), led ABA investigation of FTC",Law firm,Law firm,"Law firm (unclear likely Morgan, Lewis & Brockius)",Law firm,Law firm,Morgan Lewis & Brockius,1919,51,Wiki,NYT obit,NYT1,"NYT obit: ""[Kirkpatrick] commission that examined the F.T.C. ... concluded that too many high-level employees were incompetent or were do-nothings, and that the commission wasted time pursuing ''trivial matters.''""; Nixon not sad to see him go"
Stephen,A. ,Nye,,Commissioner,,1974,1976,,R,FTC,5,JD,"Law firm partner and antitrust litigator (Sullivan, Jones and Archer); previously: general counsel of Competitive Capital Fund, law firm (Pillsbury)",Law firm,Law firm,"Law firm (Howrey and Simon), died",Law firm,Law firm,Howrey & Simon,1936,38,WaPo obit,,,
Sanford,,Litvack,,AAG antitrust,,1979,1981,Carter,NA,DOJ,NA,LLB,Law firm; previously: participated in AG honors program at DOJ,Law firm,Law firm,"Law firms, Disney general counsel",Law firm,"Law firm, industry", Unclear,1937,42,Law.com,,,
James,F.,Rill,,AAG antitrust,,1989,1992,GHWB,NA,DOJ,NA,LLB,"Senior partner of law firm (Collier, Shannon Rill & Scott); chair of ABA section on antitrust",Law firm,Law firm,"Law firms (Collier Shannon Rill & Scott, Howery, Baker Botts), appointed by AG Reno to co-chair International Competition Policy Advisory Committee in 1997",Law firm,Law firm,"Collier Shannon Rill & Scott, Howery, Baker Botts",1936,53,Justice,interview,Baker Botts profile,IPAC report
Edith,,Ramirez,,Chair/commissioner,,2010,2017,,D,FTC,1,JD,Law firm (Quinn Emanuel Urquhart & Sullivan/Gibson Dunn & Crutcher); previously: federal court clerk,Law firm,Law firm,Law firm (Hogan Lovells),Law firm,Law firm,Hogan Lovells,1967,43,Wiki,Bloomberg,,
Renata,,Hesse,,AAG antitrust,No,2012,2013,acting,NA,DOJ,NA,JD,Law firm (Wilson Sonsini Goodrich & Rosati) ,Law firm,Law firm,Law firm (Sullivan & Cromwell),Law firm,Law firm,Sullivan & Cromwell,1963,49,Intercept,Law profile,Bloomberg,
William,,Baer,,AAG antitrust,Yes,2012,2016,Obama,NA,DOJ,NA,JD,Law firm (Arnold & Porter); previously: worked for the FTC,Law firm,"Law firm, civil service",Law firm (Arnold & Porter),Law firm,Law firm, Arnold & Porter,1950,62,link,,,
Thomas,B.,Leary,,Commissioner,,1999,2005,,R,FTC,5,"JD, BA (economics)","Law firm (Hogan & Hartson); previously: Assistant General Counsel of General Motors, law firm (White & Case)",Law firm,"Law firm, industry",Law firm (Hogan Lovells),Law firm,Law firm,Hogan Lovells,,NA,FTC bio,Open Secrets,ABA bio,
Walker,B.,Comegys,,AAG antitrust,,1972,1972,acting,NA,DOJ,NA,LLB,"Deputy AAG of antitrust; previously: law firm partner (Goodwin, Procter & Hoar)",Government,"Law firm, political","Law firm (Mintz, Levin, Cohn & Glovsky)",Law firm,Law firm,Mintz Levin Cohn & Glovsky,1929,43,NYT,Prabook,,Find better sourcing
Robert,,Pitofsky,,Commissioner,,1978,1981,,D,FTC,3,LLB,"Law firm (Dewey Ballantine?); previously: director of Bureau of Consumer Protection, lecturer (NYU Law), law firm (Dewey, Ballantine, Bushby, Palmer & Wood), civil appellate division of DOJ",Law firm,"Law firm, political","Professor/dean (Georgetown), law firm (Arnold & Porter), visiting lecturer at Columbia",Academia,"Academia, law firm",Arnold & Porter,1929,49,NYT obit,Wiki,FTCWatch,
Deborah,K.,Owen,,Commissioner,,1989,1994,,R,FTC,1,JD,"Law firm managing partner (McNair); previously: Associate Counsel to President Reagan, General Counsel for Senate Judiciary Committee head Sen Thurmond, minority council for House Judiciary, law firm (Piper and Maubury)",Law firm,"Law firm, political",Unclear,Unclear,Unclear,,1950,39,GWB Presidential papers,,,
Pamela,Jones,Harbour,,Commissioner,,2003,2010,,Independent,FTC,2,JD,"Law firm antitrust partner (Kaye Scholer); previously: assistant First Deputy NY AG, Deputy NY AG of public advocacy division, staff lawyer in NY AG office",Law firm,"Law firm, political","Law firm (Fulbright & Jaworski, Baker Hostetler), legal officer/VP of Herbalife",Law firm,"Law firm, industry","Fulbright & Jaworski, Baker Hostetler",1959,44,Wiki,LinkedIn,,
Deborah,Platt,Majoras,,Chair,,2004,2008,,R,FTC,1,JD,"Law firm partner (Jones Day); previously: Deputy AAG of DOJ antitrust, law firm (Jones Day), law clerk for federal district court",Law firm,"Law firm, political","Senior VP/general counsel at Procter & Gamble, chief legal officer/secretary of P&G",Industry,Industry,,1966,38,Wiki,Bloomberg,,
J.,Thomas,Rosch,,Commissioner,,2006,2013,,R,FTC,5,LLB,"Law firm partner in antitrust group (Latham & Watkins); previously: director of FTC bureau of competition, law firm (McCutchen, Doyle, Brown & Enersen)",Law firm,"Law firm, political",Law firm (Latham Watkins),Law firm,Law firm,Latham Watkins,1939,67,Wiki,"See ""Documents"" folder",Law firm bio,
Deborah,A. ,Garza,,AAG antitrust,,2008,2009,acting,NA,DOJ,NA,JD,Deputy Assistant Attorney General for regulatory affairs; previously law firm partner (Fried Frank Harris Shriver & Jacobson),Government,"Law firm, political",Law firm (Covington & Burling),Law firm,Law firm,Covington & Burling,1956,52,Bloomberg,LinkedIn,,
Christine,A.,Varney,,AAG antitrust,,2009,2011,Obama,NA,DOJ,NA,"JD, MPA","Law firm (Hogan & Hartson); previously: FTC Commissioner under Clinton, then partner at Hogan and Hartson (Internet practice group), registered lobbyist",Law firm,"Law firm, political","Partner at law firm (Cravath Swaine and Moore) advising on mergers, joined Columbia Law faculty",Law firm,Law firm,Cravath,1955,54,Wiki,,,
Makan,,Delrahim,,AAG antitrust,Yes,2017,2021,Trump,NA,DOJ,NA,"JD,  MS in biotech","Law firm ( Brownstein Hyatt Farber Schreck) with Apple and Google as clients; previously: in and out of government earlier in his career (NIH, Senate Judiciary Committee, DOJ under Bush)",Law firm,"Law firm, political",Adjunct lecturer at Penn,Academia,Academia,,1969,48,link,,,
Maureen,K.,Ohlhausen,,Commissioner/Acting chair,,2012,2018,,R,FTC,4,JD,"Law firm partner (Wilkinson Barker Knauer); previously: various positions at FTC (from legal staff to director of office of policy planning), technology policy counsel at Business Software Alliance, , adjunct faculty at George Mason Law, federal court law clerk for US court of appeals and federal claims court",Law firm,"Law firm, political, industry",Partner and co-chair of antitrust practice at law firm (Baker Botts),Law firm,Law firm,Baker Botts,1962,50,Wiki,"Nomination document can be found in the ""Documents"" folder",,Nominated by Trump to federal judiciary but decided to go back to law firm
Joseph,J.,Simons,,Chair,,2018,2021,,R,FTC,3,JD,"Law firm (Paul Weiss); previously: director of FTC bureau of competition, board member/VP at Madison Oil company, law firms (Wachtell, Lipton, Rosen & Katz/ Collier, Shannon, Rill & Scott/Clifford Chance), assistant to several FTC bureau directors, law firms' associates (Wald, Harkrader & Ross/Skkaden)",Law firm,"Law firm, political, industry",Law firm (Paul Weiss),Law firm,Law firm,Paul Weiss,1958,60,Nomination document,LinkedIn,,
William,J.,Harris,,Chair/commissioner,,1915,1918,,D,FTC,3,Undergrad,"Director of US Census Bureau; previously: state senator (GA), secretary of Sen Clay, insurance business, banking",Government,Political,"Senator of Georgia, died",Government,Electoral,,1868,47,Wiki,Congress bio,,
George,,Rublee,,Commissioner,,1915,1916,,Progressive,FTC,1,Law,"Antitrust reform advisor to Wilson; previously: political advisor on economic matters for Theodore Roosevelt and Robert La Follette, assistant to lawyer for Wall Street corporation (?)",Government,Political,"US rep to Allied Maritime Transportation Council, partner at law firm (Covington & Burling), advisor to US ambassador in Mexico",Government,"Political, law firm",Covington & Burling,1868,47,Wiki,,,
Joseph,E.,Davis,,Chair/commissioner,,1916,1918,,D,FTC,5,Law,"Head of Bureau of Corporations (FTC predecessor); previously: high-level campaign staff on Wilson's campaign, private practice, chairman of WI Democratic Party",Government,Political,"Unsuccessfully ran for Senate, economic advisor to US during Paris Peace conference, law firm (defended Ford in famous case against IRS), Ambassador to USSR, additional political/diplomatic appointments",Government,Political,,1876,40,Wiki,,,Bureau of Corporations job was a reward for helping Wilson to win the election
William,B.,Colver,,Chair/commissioner,,1917,1920,,D,FTC,4,Law,"Member of US gov WWI price fixing board; previously: journalist/editor, local law practice",Government,Political,Newspaper editor,Industry,Industry,,1870,47,NYT obit,Wiki,,Wife received obituary in NYT on the basis of her association with him
Huston,,Thompson,,Chair(x2)/commissioner,,1919,1926,,D,FTC,3,Law,"US AAG of DOJ; previously: AAG of Colorado, law practice",Government,Political,"Unclear, special counsel to FDR",Unclear,Unclear,,1875,44,Wiki,,,"NYT: ""Old friend of Wilson's"""
John,Garland,Pollard,,Commissioner,,1920,1921,,D,FTC,5,LLB,"volunteered with YMCA in Europe during WWI; previously: unsuccessfully ran for VA governor, VA AG, law practice, various state/local Democratic political organizations",Government,Political,"Dean (William and Mary), VA governor",Academia,"Academia, electoral",,1871,49,Wiki,,,Secured job from Wilson after period of unemployment due to VA governor race
Edgar,A.,Mcculloch,,Chair/commissioner,,1927,1933,,D,FTC,3,Law,"Chief Justice of AR Supreme Court; previously: Associate Justice of AR Supreme Court, private practice",Government,Political,Died,Died,Died,,1861,66,Wiki,NYT obit,,
Charles,H.,March,,Chair/commissioner,,1929,1945,,R,FTC,5,Law,"President of the Minnesota Farmers and Bankers Council; previously: member of MN state commission on Public Safety, mayor, MN state Republican operative, law practice (March Brothers)",Industry,Political,Died,Died,Died,,1870,59,Wiki,NYT obit,,NYT obit: swung MN delegation for Coolidge preceding appointment
Robert,H. ,Jackson,,AAG antitrust,,1937,1938,FDR,NA,DOJ,NA,Attended law school but did not graduate with a degree,"Assistant Attorney General of Tax Division of DOJ; previously, Assistant General Counsel of Treasury's Bureau of Internal Revenue (now IRS), active in Roosevelt presidential campaign, private practice in NY",Government,Political,"US Solicitor General, Attorney General, Associate Justice of SCOTUS, US Chief of Counsel on the International Military Tribunal (Nuremberg)",Government,Political,,1892,45,Wiki,,,
John,F.,Sonnett,,AAG antitrust,,1947,1948,Truman,NA,DOJ,NA,Law,"AAG of claims division; previously: US Attorney for Southern District of NY, special assistant to secretary of Navy",Government,Political,Law firm senior partner (Cahill Gordon Sonnett Reindel & Ohl),Law firm,Law firm,Cahill Gordon Sonnett Reindel & Ohl,1912,35,NYT obit,,,
Stanley,,Barnes,,AAG antitrust,,1953,1956,Eisenhower,NA,DOJ,NA,JD,"Presiding judge on LA Superior Court; previously: private practice, lecturer at USC",Government,Political,Federal judge (US Court of Appeals 9th Circuit),Government,Political,,1900,53,Wiki,,,political organizer for Republicans in CA
Victor,R.,Hansen,,AAG antitrust,,1956,1959,Eisenhower,NA,DOJ,NA,Law,Judge on LA Superior Court; previously: private practice,Government,Political,Unclear,Unclear,Unclear,,1904,52,"See ""Documents"" folder",,,
Edward,T.,Tait,,Commissioner,,1956,1960,,R,FTC,5,Law,"Executive director of SEC; previously: special assistant for Eisenhower, ""lesser federal posts"", private practice",Government,Political,Private business,Industry,Industry,,1920,36,NYT obit,NYT1,,
William,Horsley,Orrick,Jr.,AAG antitrust,,1963,1965,JFK,NA,DOJ,NA,LLB,"Deputy Undersecretary of State for Administration at State Dept; previously: AAG of civil division of DOJ, law firm",Government,Political,"Law firm (unclear), federal judge (N CA District Court)",Law firm,"Law firm, political",Unclear,1915,48,Wiki,,,
Lewis,A. ,Engman,,Chair,,1973,1975,,R,FTC,4,Law,"Assistant director of WH domestic policy council; previously: legislative counsel and general counsel to the President's special assistant for consumer affairs, law practice (Michigan)",Government,Political,"Pharmaceutical industry spokesman, law firm (Winston & Strawn)",Industry,Industry,,1936,37,Wiki,NYT obit,,
Elizabeth,Hanford,Dole,,Commissioner,,1973,1979,,Independent,FTC,1,JD,Head of White House Office of Consumer Affairs under Nixon; previously: worked for LBJ's President’s Committee for Consumer Interests and HHS dept,Government,Political,"Assistant for public liaison for Reagan, Secretary of Transportation, Secretary of Labor, NC senator",Government,Political,,1936,37,UVA website,House bios,,Appointed prior to marriage to Sen Bob Dole
David,A. ,Clanton,,Acting chair/commissioner,,1976,1983,,R,FTC,4,JD,"Legislative assistant to the assistant Senate minority leader; previously: minority staff council for Senate Commerce, legislative assistant to Sen Griffin",Government,Political,Law firm (Baker McKenzie),Law firm,Law firm,Baker McKenzie,1944,32,Wiki,Super Lawyers profile,NYT2,"NYT2: ""In fact, a study of the commission by Mr. Reagan's transition team had recommended that neither Mr. Clanton nor Patricia Bailey, the commission's other Republican, be appointed chairman because neither shared ''the President's basic philosophy.''""; also quite young"
Calvin,J.,Collier,,Commissioner,,1976,1977,,R,FTC,3,LLB,"FTC's general counsel; previously: associate director of OMB with purview over FTC under Ford, director of urban program coordination for Dept of HUD, law clerk for DC court of appeals",Government,Political,"Law firm (Kirkland, Ellis, Hodson, Chaffetz & Masters, Hughes Hubbard), various positions at Kraft Inc. (Senior VP, General Counsel, Secretary)",Law firm,"Law firm, industry","Kirkland Ellis, Chaffetz & Masters, Hughes Hubbard",1942,34,Wiki,NYT,Prabook,"NYT: ""A young lawyer of some note among Government officials but anonymous by national standards"", ""youngest person ever"""
Michael,,Pertschuk,,Chair/commissioner,,1977,1984,,D,FTC,5,JD,"Chief counsel/staff director of Senate Commerce; previously: legislative assistant for OR Senator, law firm (Hart, Rockwood, Davies, Biggs & Strayer), law clerk for district court judge",Government,Political,"scholar in-residence at Wilson Center, founder/co-director of Advocacy Institute",Academia,Academia,,1933,44,Wiki,NYT,NYT1,"Controversial figure, fought with Congress about role of FTC, quoted in NYT: ""The current FTC leadership [Chairman Miller] has been consumed with single-minded determination to undo the past... the very foundation of antitrust""; NYT1 notes lack of staff available "
Patricia,P.,Bailey,,Commissioner,,1979,1988,,R,FTC,1,"JD, MA","Executive legal assistant to the General Counsel at the Merit Systems Protection Board; previously: special assistant to AAG for Improvements in the Administration of Justice at DOJ, Rockefeller campaign staff, staff assistant in House for Rep Morse, worked several positions at USAID",Government,Political,"Law firm (Squire, Sanders and Dempsey)",Law firm,Law firm,Squire Sanders & Dempsey,1937,42,APP,CSPAN,,Wife of political advisor to influential Senator
Margot,R.,Machol,,Commissioner,,1988,1989,,R,FTC,1,MBA,"Special assistant to the Chairman for the Council of Economic Advisers in Washington; previously: Executive Assistant to the Under Secretary for Monetary Affairs at the Department of the Treasury, chief legislative assistant for Rep Marks",Government,Political,"Commissioner of the National Commission on Employment Policy, chief of staff of the Millenium Challenge Corporation, staff director of the National H.E.L.P. Commission, author of books/articles on entrepreneurship",Government,"Political, industry",,1948,40,APP,Wiki,,
J.,Mark,Gidley,,AAG antitrust,,1992,1993,acting,NA,DOJ,NA,"JD, BS",Deputy Assistant Attorney General for Regulated Industries in the Antitrust Division; previously: Associate Deputy Attorney General under Deputy AG Barr,Government,Political,"Law firm (Shaw Pittman, then White & Case)",Law firm,Law firm,"Shaw Pittman, White & Case",1960,32,LinkedIn,Bio,,"""Mark Gidley has an excellent reputation for cartel defense matters."""
Joel,,Klein,,AAG antitrust,,1996,2000,Clinton,NA,DOJ,NA,JD,Principal Deputy AAG of antitrust; previously: WH Counsel's office under President Clinton ,Government,Political,"Lawyer for international media group (Bertelsmann), NYC School Chancellor",Industry,"Industry, electoral",,1946,50,Wiki,,,
